
Date and time: 2016-07-19 08:00:01
Netcontrollers: 


Silo,Cable,Sensor,Status
15,049,6,15.3
15,049,7,14.9
15,050,1,15.8
15,050,2,15.5
15,050,3,15.5
15,050,4,15.5
15,050,5,15.4
15,050,6,15.3
15,050,7,15.2
15,051,1,16.0
15,051,2,15.5
15,051,3,15.5
15,051,4,15.5
15,051,5,15.5
15,051,6,15.5
15,052,1,14.9
15,052,2,15.4
15,052,3,15.7
15,052,4,15.3
15,052,5,15.3
15,052,6,15.4
15,052,7,15.4
15,053,1,15.6
15,053,2,15.5
15,053,3,15.4
15,053,4,15.4
15,053,5,15.6
15,053,6,15.7
15,053,7,17.4
15,054,1,15.6
15,054,2,15.6
15,054,3,15.4
15,054,4,15.3
15,054,5,15.5
15,054,6,15.4
15,054,7,16.5
16,055,1,15.7
16,055,2,15.6
16,055,3,15.5
16,055,4,15.4
16,055,5,15.3
16,055,6,15.6
16,055,7,15.4
16,056,1,15.7
16,056,2,15.6
16,056,3,15.5
16,056,4,15.4
16,056,5,15.2
16,056,6,15.1
16,056,7,15.0
16,057,1,15.7
16,057,2,15.6
16,057,3,15.3
16,057,4,15.4
16,057,5,15.3
16,057,6,15.2
16,057,7,15.0
16,058,1,15.6
16,058,2,15.4
16,058,3,15.4
16,058,4,15.4
16,058,5,15.5
16,058,6,15.6
16,058,7,15.4
16,059,1,15.8
16,059,2,15.4
16,059,3,15.9
16,059,4,15.4
16,059,5,15.4
16,059,6,15.8
16,059,7,16.5
16,060,1,15.7
16,060,2,15.5
16,060,3,15.3
16,060,4,15.4
16,060,5,15.4
16,060,6,15.8
16,060,7,17.4
17,061,1,16.0
17,061,2,15.5
17,061,3,15.5
17,061,4,15.5
17,061,5,15.5
17,061,6,16.0
17,061,7,15.5
17,062,1,15.7
17,062,2,15.9
17,062,3,15.8
17,062,4,15.8
17,062,5,15.6
17,062,6,15.5
17,062,7,15.8
17,063,1,15.8
17,063,2,15.7
17,063,3,15.8
17,063,4,15.7
17,063,5,15.6
17,063,6,15.7
17,063,7,15.5
17,064,1,15.7
17,064,2,15.6
17,064,3,15.5
17,064,4,15.5
17,064,5,15.7
17,064,6,15.8
17,064,7,15.9
17,065,1,15.8
17,065,2,15.7
17,065,3,15.8
17,065,4,15.8
17,065,5,15.9
17,065,6,16.2
17,065,7,18.4
17,066,1,16.0
17,066,2,16.0
17,066,3,15.5
17,066,4,15.5
17,066,5,15.5
17,066,6,16.5
18,067,1,16.3
18,067,2,16.4
18,067,3,19.8
18,067,4,16.4
18,067,5,16.2
18,067,6,16.2
18,067,7,16.2
18,068,1,16.3
18,068,2,16.4
18,068,3,16.3
18,068,4,16.3
18,068,5,16.3
18,068,6,16.1
18,068,7,16.0
18,069,1,16.4
18,069,2,16.4
18,069,3,16.4
18,069,4,16.3
18,069,5,16.3
18,069,6,16.3
18,069,7,15.9
18,070,1,16.5
