
Date and time: 2015-06-10 06:00:01
Netcontrollers: 


Silo,Cable,Sensor,Status
17,061,2,14.5
17,061,3,14.5
17,061,4,14.0
17,061,5,14.0
17,061,6,14.5
17,061,7,13.5
17,062,1,14.3
17,062,2,14.5
17,062,3,14.4
17,062,4,14.3
17,062,5,14.1
17,062,6,14.0
17,062,7,13.9
17,064,1,14.4
17,064,2,14.3
17,064,3,14.3
17,064,4,14.1
17,064,5,14.1
17,064,6,13.9
17,064,7,13.9
17,065,1,14.5
17,065,2,14.4
17,065,3,14.4
17,065,4,14.3
17,065,5,14.3
17,065,6,14.1
17,065,7,13.9
18,067,1,-3.2
18,067,2,14.6
18,067,3,18.0
18,067,4,14.5
18,067,5,14.3
18,067,6,14.1
18,067,7,14.1
18,068,1,-2.9
18,068,2,14.6
18,068,3,14.4
18,068,4,14.4
18,068,5,14.4
18,068,6,14.2
18,068,7,13.9
18,069,1,17.1
18,069,2,14.6
18,069,3,14.5
18,069,4,14.4
18,069,5,14.4
18,069,6,14.3
18,069,7,14.1
30,073,1,14.7
30,073,2,14.7
30,073,3,14.4
30,073,4,14.4
30,073,5,14.3
30,073,6,14.3
30,073,7,14.3
30,074,1,14.6
30,074,2,14.6
30,074,3,14.6
30,074,4,14.5
30,074,5,14.4
30,074,6,14.3
30,074,7,14.2
30,078,1,14.8
30,078,2,14.6
30,078,3,14.4
30,078,4,14.5
30,078,5,14.4
30,078,6,14.3
30,078,7,14.2
29,080,1,14.2
29,080,2,14.2
29,080,3,14.1
29,080,4,14.1
29,080,5,14.1
29,080,6,13.9
29,080,7,13.6
29,081,1,14.1
29,081,2,14.3
29,081,3,14.0
29,081,4,13.9
29,081,5,14.0
29,081,6,13.8
29,081,7,13.8
28,085,1,14.8
28,085,2,14.7
28,085,3,14.7
28,085,4,14.6
28,085,5,14.6
28,085,6,14.4
28,085,7,14.0
28,086,1,14.9
28,086,2,14.6
28,086,3,14.6
28,086,4,14.4
28,086,5,14.5
28,086,6,14.4
28,086,7,14.1
28,087,1,14.8
28,087,2,14.6
28,087,3,14.6
28,087,4,14.6
28,087,5,14.4
28,087,6,14.4
28,087,7,14.1
27,091,1,14.3
27,091,2,14.1
27,091,3,14.1
27,091,4,14.1
27,091,5,14.1
27,091,6,13.9
27,091,7,13.6
27,092,1,14.3
27,092,2,14.2
27,092,3,14.1
27,092,4,14.1
27,092,5,14.0
27,092,6,14.0
27,092,7,13.7
27,093,1,14.3
27,093,2,14.3
27,093,3,14.1
27,093,4,14.0
27,093,5,13.9
27,093,6,14.0
27,093,7,13.8
27,094,1,14.2
27,094,2,14.1
27,094,3,14.1
27,094,4,14.1
27,094,5,13.9
27,094,6,13.8
27,094,7,13.8
27,095,1,14.3
27,095,2,14.1
27,095,3,14.1
27,095,4,14.0
27,095,5,13.8
27,095,6,13.8
27,095,7,13.7
27,096,1,14.1
27,096,2,14.0
27,096,3,13.9
27,096,4,13.9
27,096,5,13.8
27,096,6,13.7
27,096,7,13.8
26,098,1,14.8
26,098,2,14.5
26,098,3,14.4
26,098,4,14.6
26,098,5,14.3
26,098,6,14.3
26,098,7,14.1
26,099,1,14.7
26,099,2,14.5
26,099,3,14.4
26,099,4,14.4
26,099,5,14.5
26,099,6,14.3
26,099,7,14.0
25,103,1,14.3
25,103,2,14.3
25,103,3,14.2
25,103,4,14.2
25,103,5,14.1
25,103,6,13.9
25,103,7,13.8
25,104,1,14.3
25,104,2,14.3
25,104,3,14.1
25,104,4,14.1
25,104,5,14.0
25,104,6,14.1
25,104,7,13.9
25,105,1,14.4
25,105,2,14.3
25,105,3,14.3
25,105,4,14.1
25,105,5,14.0
25,105,6,13.9
25,105,7,13.9
25,106,1,14.3
25,106,2,14.3
25,106,3,14.1
25,106,4,14.1
25,106,5,14.0
25,106,6,14.1
25,106,7,13.8
25,107,1,14.4
25,107,2,14.3
25,107,3,14.3
25,107,4,14.0
25,107,5,14.3
25,107,6,14.1
25,107,7,13.8
25,108,1,14.2
25,108,2,14.3
25,108,3,14.2
25,108,4,14.0
25,108,5,13.9
25,108,6,13.8
25,108,7,13.7
7,109,1,14.6
7,109,2,14.5
7,109,3,14.4
7,109,4,14.4
7,109,5,14.3
7,109,6,14.2
7,109,7,13.9
7,110,1,14.6
7,110,2,14.5
7,110,3,14.4
7,110,4,14.3
7,110,5,14.4
7,110,6,14.2
7,110,7,13.9
7,111,1,14.8
7,111,2,14.6
7,111,3,14.4
7,111,4,14.3
7,111,5,14.3
7,111,6,14.2
7,111,7,13.9
7,113,1,14.6
7,113,2,14.6
7,113,3,14.3
7,113,4,14.4
7,113,5,14.3
7,113,6,14.3
7,113,7,13.9
7,114,1,14.6
7,114,2,14.4
7,114,3,14.4
7,114,4,14.4
7,114,5,14.3
7,114,6,14.2
7,114,7,14.1
8,115,1,14.3
8,115,2,14.2
8,115,3,14.1
8,115,4,14.0
8,115,5,13.9
8,115,6,13.9
8,115,7,13.7
8,116,1,14.4
8,116,2,14.4
8,116,3,14.1
8,116,4,14.1
8,116,5,13.9
8,116,6,13.8
8,116,7,13.6
8,117,1,14.2
8,117,2,14.3
8,117,3,14.2
8,117,4,14.1
8,117,5,14.0
8,117,6,13.9
8,117,7,13.8
8,118,1,14.2
8,118,2,14.3
8,118,3,14.0
8,118,4,13.9
8,118,5,13.9
8,118,6,13.8
8,118,7,13.8
8,119,1,14.4
8,119,2,14.2
8,119,3,14.2
8,119,4,14.1
8,119,5,14.0
8,119,6,13.9
8,119,7,13.8
8,120,1,14.2
8,120,2,14.3
8,120,3,14.1
8,120,4,13.9
8,120,5,14.0
8,120,6,13.9
8,120,7,13.8
9,121,1,14.4
9,121,2,14.3
9,121,3,14.3
9,121,4,14.3
9,121,5,13.9
9,121,6,13.9
9,121,7,13.8
9,124,1,14.4
9,124,2,14.3
9,124,3,14.3
9,124,4,14.1
9,124,5,14.1
9,124,6,13.9
9,124,7,13.8
9,125,1,14.4
9,125,2,14.4
9,125,3,14.2
9,125,4,14.3
9,125,5,14.0
9,125,6,14.0
9,125,7,13.8
9,126,1,14.3
9,126,2,14.3
9,126,3,14.4
9,126,4,14.2
9,126,5,14.1
9,126,6,13.9
9,126,7,13.6
10,127,1,14.3
10,127,2,14.3
10,127,3,14.1
10,127,4,14.1
10,127,5,14.1
10,127,6,13.8
10,127,7,13.7
10,128,1,14.4
10,128,2,14.2
10,128,3,14.3
10,128,4,14.1
10,128,5,13.9
10,128,6,13.9
10,128,7,13.8
10,129,1,14.3
10,129,2,14.3
10,129,3,14.2
10,129,4,14.1
10,129,5,14.0
10,129,6,14.1
10,129,7,13.7
10,130,1,14.4
10,130,2,14.3
10,130,3,14.2
10,130,4,14.1
10,130,5,14.0
10,130,6,13.8
10,130,7,13.9
10,131,1,14.4
10,131,2,14.1
10,131,3,14.2
10,131,4,14.2
10,131,5,14.0
10,131,6,13.9
10,131,7,13.8
10,132,1,14.3
10,132,2,14.2
10,132,3,14.1
10,132,4,14.2
10,132,5,14.0
10,132,6,13.9
10,132,7,14.0
11,133,1,-6.1
11,133,2,-3.5
11,133,3,0.6
11,133,4,4.6
11,133,5,16.6
11,133,6,14.4
11,133,7,14.3
11,136,1,-6.3
11,136,2,-3.8
11,136,3,0.2
11,136,4,4.3
11,136,5,14.9
11,136,6,14.4
11,136,7,14.3
